term,definition,POS,notes
!,Used at the end of a salutation line of a letter,punct,obsolescent] 
'n,alternative form of ein; alternative form of einen; short for denn (used for general emphasis),art/art/adv,colloquial]  colloquial]  colloquial] 
'nauf,alternative form of hinauf,adv,
'ne,contraction of eine,art,colloquial] 
'nem,contraction of einem dative no and masculine singular form of 'n,art,colloquial] 
'nen,contraction of einen accusative masculine singular form of 'n,art,colloquial] 
'ner,contraction of einer,art,colloquial] 
's,contraction of das; contraction of es,art/pron,chiefly colloquial or poetic]  chiefly colloquial or poetic] 
'türlich,for sure (affirmative interjection),interj,slang] 
-',"Used to form the genitive forms of names ending in -s, -ß, -x, -z or (foreign) -ce, similar to English -'. For other names, -s is used",suffix,
-'s,Used to form the genitive of proper names; Used to form the genitive of proper names under certain circumstances,suffix/suffix,archaic]  
-'sch,"A suffix attached to names to produce eponymous adjectives: -ean, -ian, 's",suffix,
-'sche,strong nominative feminine singular form of -'sch; strong accusative and nominative plural form of -'sch; weak nominative no and masculine singular form of -'sch; weak accusative no and feminine singular form of -'sch; mixed accusative and nominative feminine singular form of -'sch,suffix/suffix/suffix/suffix/suffix,    
-abel,"-able, -ible",suffix,
-affin,affine (having a specified affinity),suffix,
-al,"pertaining to, using; adjectival suffix appended to nouns",suffix,
-archie,-archy,suffix,
-artig,-like,suffix,
-at,-ate,suffix,
-bar,"-able, -ible",suffix,
-beck,Placename suffix found in northern Germany; Suffix of occupational surnames,suffix/suffix, 
-bold,Pejorative agent suffix,suffix,
-broich,"Placename suffix found in the Rhineland, chiefly the northern parts",suffix,
-bühren,alternative spelling of -büren,suffix,
-büren,place name suffix found in northern Germany,suffix,
-chen,nowadays the most common suffix to create a diminutive form,suffix,
-chor,-chorous,suffix,
-de,forms abstract nouns from adjectives,suffix,"rare, not productive] "
-e,"used to form nouns from adjectives, sometimes with umlaut of the root vowel; the nouns express the quality of the adjective; used to form the plural of some nouns; in masculines and feminines, but not in neuters, usually triggering umlaut of the root vowel; used to form the dative of strong masculine and neuter nouns ending in a stressed syllable; used to form various declined adjective forms, notably the nominative/accusative feminine singular; used to form the 1st person singular present indicative (and subjunctive) of a verb; used to form the 3rd person singular present subjunctive of a verb; used to form the 1st and 3rd person singular past subjunctive of a verb; contraction of du after 2nd person singular forms of a verb",suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix,now chiefly unproductive]   chiefly dated]      colloquial] 
-e-,used to link elements in some compounds,interfix,
-ei,"site or building where a characteristic activity is conducted; used to create abstract nouns denoting a state, condition, or quality, like English -y; alternative form of -erei",suffix/suffix/suffix,  
-ektomie,-ectomy (surgical removal of),suffix,"medicine, specialist, less widely understood than in English] "
-el,suffix in diminutives; suffix in nouns indicating appurtenance; suffix in agent and instrumental nouns,suffix/suffix/suffix,  
-elchen,"used to make diminutives of nouns with a stem ending in -ch, and a few with a stem ending in -g.; used to make diminutives of words with other final sounds, particularly -k and -ng.",suffix/suffix,standard]  regional] 
-ell,pertaining or adhering to; adjectival suffix attaching to nouns,suffix,
-eln,"Verb suffix: Build verbs from nouns, adjectives and other verbs, whose meaning is either iterative or diminutive",suffix,
-en,"A suffix of all verbs in their infinitive form; A suffix indicating the 1st and 3rd person plural forms (except the present indicative sind of sein); A suffix appended to strong verb stems to form the past participle, usually together with ge-; A suffix appended to some nouns in all of their plural forms. These nouns are so-called “weak” or “mixed” nouns; they are most often feminine, often masculine, rarely neuter; A suffix appended to weak masculine nouns in all oblique cases of the singular, and to some mixed nouns in the singular dative and accusative; A suffix appended to most other nouns, the so-called “strong” nouns, in their plural dative; A suffix (in fact, the most common declensional ending) which is appended to determiners, adjectives, and participles, for multiple forms of all grammatical cases, both singular and plural; A suffix which is used to create adjectives that most often refer to materials; -ene (alkene suffix)",suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix/suffix,        chemistry] 
-en-,alternative form of -n-,interfix,
-end,"A suffix forming the present participle of German verbs, analogous to English -ing",suffix,
-ens,plural suffix for family names that end in a sibilant consonant; genitive suffix for personal names that end in a sibilant consonant; genitive suffix for personal names that end in -ia; forms adverbs from superlatives and ordinal numbers,suffix/suffix/suffix/suffix, dated]  dated]  
-ens-,used to link elements in some compounds,interfix,
-er,"Forms agent nouns etc. from verbs, suffixed to the verb stem; indicating something defined by a number; in the plural often all numbers with the same first digits; Used to form the plurals of some nouns; Forms nouns indicating an inhabitant of a place, or a person originating from a place; Forms invariable adjectives from place names, with a genitival meaning, indicating origin from or association with that place",suffix/suffix/suffix/suffix/suffix,    
-er-,used to link elements in some compounds,interfix,
-erei,"Used to form verbal nouns, which often have an informal and/or negative overtone",suffix,
-erl,"suffix used to create a diminutive form, mostly in southern Germany and Austria; e.g., Häfn → Häferl",suffix,
-erlei,Produces adjectives describing the number of kinds of a thing,suffix,
-ern,"[not productive anymore] iterative suffix, used to form verbs from other verbs; used (always together with a prefix) to form verbs from nouns; made of (used to form adjectives from nouns)",suffix/suffix/suffix,  
-erweise,forms adverbs from adjectives; these adverbs are used to modify phrases or sentences,suffix,
-es,"alternative form of -s (genitive ending); [music] flat, ♭",suffix/suffix, 
-es-,Genitival interfix used to link elements in some compounds,interfix,
-esk,-esque; used to form adjectives denoting a similarity in style or manner; productive use is chiefly (even more than in English) restricted to derivations from proper nouns,suffix,elevated] 
-eur,Used to form (male) agent nouns from verbs,suffix,
-fach,-fold,suffix,
-falt,-ness,suffix,
-farben,-coloured,suffix,
-fertig,Used to form adjectives from nouns or verbs to indicate a preparedness or readiness for something,suffix,
-frei,"-free (free from, devoid of, without)",suffix,forming adjectives] 
-fähig,"able to do, capable, ready for something",suffix,
-förmig,shaped [combining form],suffix,
-gate,-gate (forms names of scandals),suffix,
-gen,used to make diminutives [especially in the 18th century]; A producer of something; producing something,suffix/suffix/suffix,  
-gleich,-like (having some of the characteristics of) [used to form adjectives from nouns]; equal in regard to [used to form adjectives from nouns],suffix/suffix, 
-graf,alternative form of -graph,suffix,
-grafie,alternative form of -graphie,suffix,
-grafisch,-graphic,suffix,
-graph,-graph,suffix,
-graphie,-graphy,suffix,
-graphisch,-graphic,suffix,
-haft,an adjectival suffix,suffix,
-halber,Creates adverbs that give a reason or purpose,suffix,
-haltig,"-ferous, -iferous (containing a specified substance, especially metal)",suffix,
-heit,"Converts an adjective into a noun and usually denotes an abstract quality of the adjectival root. It is often equivalent to the English suffixes -ness, -th, -ty:; Converts concrete nouns into abstract nouns:",suffix/suffix, 
-i,suffix sometimes used to create a diminutive form; suffix sometimes used to create a short form,suffix/suffix, 
-iatrie,"-iatry, -iatrics (forms names of specialized fields of medical practice.)",suffix,
-ien,Used to form country names; -ia; Used to form the plurals of some neuter nouns of Latin descent whose original plural ends in -ia,suffix/suffix, 
-ier,"A noun-forming suffix, used especially to render similar suffixes in borrowings from French",suffix,
-ieren,"Verb suffix: it and its inflected forms are found mainly as a rendering of French, Italian and Latin suffixes like -ire and -iare in borrowings, but it is also sometimes applied with a factitive meaning to German stems",suffix,
-iert,-ed (used to form adjectives from nouns),suffix,
-if,Dated alternative form of -iv,suffix,
-ig,"-y; forms adjectives from nouns; forms adjectives from verbs, well doing; forms adjectives from adverbs",suffix/suffix/suffix,  
-igen,"A suffix forming verbs from nouns, to become possessing the quality of the noun; A suffix forming verbs from adjectives, to become possessing the quality of the adjective",suffix/suffix, 
-iger,mixed and strong nominative masculine singular form of -ig; strong genitive and dative feminine singular form of -ig; strong genitive plural form of -ig,suffix/suffix/suffix,  
-igkeit,forms (usually abstract) nouns from adjectives,suffix,
-ik,forms feminine nouns referring to fields of study; forms feminine collective nouns; forms feminine nouns referring to characteristics,suffix/suffix/suffix,  
-iker,"-ist, -ic",suffix,
-in,"creates the female form for many nouns for living beings; umlaut usually occurs in monosyllables, but rarely in polysyllables; names the wife of a person; creates female personal names (for wives and daughters); -yne; -ine",suffix/suffix/suffix/suffix, dated]  dated]  chemistry] 
-ing,"-ing; Used to form verbal nouns which jocularly imply that something is a sport, trend, or fashionable concept",suffix/suffix,"in English borrowings]  productive, colloquial, humorous] "
-ion,-ion,suffix,
-iren,obsolete spelling of -ieren,suffix,
-is,"sharp, ♯",suffix,music] 
-isch,"an adjectival suffix, often matching -ic and -ical; of a nationality, or the language associated with a nationality; often matches -ish or -ian",suffix/suffix, 
-isieren,-ize/-ise,suffix,
-isierung,"-ization, -izing",suffix,
-ismus,-ism,suffix,
-ist,-ist,suffix,
-istisch,-istic,suffix,
-it,"-ite (used to form names of followers of a movement, Biblical descendants of a certain person, etc); -ite (used to form names of minerals and some rocks and fossils); -ite (used to form names of salts and esters of acids whose name ends in -ous)",suffix/suffix/suffix,"masculine]  masculine]  chemistry, neuter] "
-iter,used to form adverbs (not productive; often present in terms derived from Latin),suffix,
-ität,-ity,suffix,
-iv,-ive; making an adjective,suffix,
-jährig,years old; years lasting,suffix/suffix, 
-keit,alternative form of -heit,suffix,
-ken,used to make diminutives,suffix,"colloquial, regional, northern Germany, Westphalia] "
-kettig,Used to form adjectives to describe molecules which contain specified kinds of chains,suffix,
-kratie,-cracy,suffix,
-kunde,A science or branch of knowledge dealing with the subject referred to by the stem to which the suffix is added; -logy,suffix/suffix, in numerous compounds] 
-köpfig,Pertaining to the head count of a group; headed (having a certain type or number of heads),suffix/suffix, 
-le,"suffix used to create a diminutive form, mostly in Alemannic and Upper Franconian dialects; e.g., Haus → Häusle",suffix,chiefly dialectal] 
-lei,"means sort, kind, type; added to numerals or some pronouns: indicates the specified number of types",suffix,
-lein,"suffix used to create a diminutive form; e.g., Kind → Kindlein",suffix,
-ler,"used to create agent nouns, similar to -er",suffix,
-lich,an adjectival suffix; an adverbial suffix,suffix/suffix, 
-ling,"Indicates possession of or connection with a quality or property, such as Schwächling (weakling) from schwach (weak) or Frühling (the season Spring [which comes early]) from früh (early); A modifier of nouns, meaning a follower or resident of what is denoted by the stem form, such as Häftling from Haft",suffix/suffix, 
-lings,"forms adverbs that describe the manner of an action, particularly a movement",suffix,"rare, not productive] "
-loge,-logist,suffix,
-logie,-logy,suffix,
-login,-logist (female),suffix,
-los,-less,suffix,
-mal,times,suffix,
-metrie,-metry,suffix,
-mässig,alternative spelling of -mäßig,suffix,
-mäßig,"-like (having some of the characteristics of); -wise (with respect to, concerning)",suffix/suffix, 
-n,alternative form of -en,suffix,
-n-,Genitival interfix indicating that the former part is a characteristic of the latter,interfix,
-nis,"A suffix for deriving nouns from verbs or adjectives; A suffix for deriving nouns from verbs or adjectives, etymologically identical to the preceding",suffix/suffix, 
-niß,obsolete spelling of -nis,suffix,
-ns-,used to link elements in some compounds,interfix,
-oid,-oid (adjective or substantive),suffix,
-ologie,-ology,suffix,
-ose,-osis; -ose,suffix/suffix, 
-ow,A place name suffix; A surname suffix,suffix/suffix, 
-pathie,-pathy,suffix,
-pathisch,-pathic,suffix,
-pflichtig,"compulsory, obligatory",suffix,
-phil,-philic,suffix,
-philie,-philia,suffix,
-phob,-phobic,suffix,
-phobie,-phobia,suffix,
-prozentig,-percent,suffix,
-reich,"-rich, -ful, used to form an adjective from a noun with the sense of 'rich in', 'full of'",suffix,
-rich,"suffix to derive masculine nouns, especially for male animals",suffix,
-s,"Used to form the genitive singular of most masculine nouns, neuter nouns, and proper nouns of all genders; used to form nouns from verb stems; Used to form the plurals of some nouns; Used to form the plurals of personal names, particularly family names",suffix/suffix/suffix/suffix,   
-s-,Genitival interfix used to link elements in some compounds,interfix,
-sal,alternative form of -sel,suffix,
-sam,"Used to form adjectives from verbs, nouns, and other adjectives; expressing similarity or the possession of a quality; Used to form adjectives from verbs; expressing the ability to undergo some action",suffix/suffix, 
-sch,"A suffix attached to names to produce eponymous adjectives: -ean, -ian, 's; A suffix attached to family names and other words identifying families or groups of people, to produce a female form, especially denoting a wife or mother",suffix/suffix, dated or regional] 
-schaft,"-ship, -hood",suffix,
-sche,strong nominative feminine singular form of -sch; strong accusative and nominative plural form of -sch; weak nominative no and masculine singular form of -sch; weak accusative no and feminine singular form of -sch; mixed accusative and nominative feminine singular form of -sch,suffix/suffix/suffix/suffix/suffix,    
-seits,"on the side of, from the side of",suffix,
-sel,Creates nouns from verbs,suffix,
-seyts,obsolete spelling of -seits,suffix,
-st,verb suffix for the second-person singular; forming superlatives of adjectives and adverb,suffix/suffix, 
-ste,"-th, -nd etc; Used to form the ordinal form of a cardinal number",suffix,
-stämmig,-born,suffix,
-t,-ed (used to form adjectives from nouns),suffix,
-te,forms the first-person and third-person singular of the past tense and past subjunctive of weak verbs and some irregular verbs; forms nouns from adjectives,suffix/suffix," rare, not productive, only as synchronic surface analysis] "
-thum,obsolete spelling of -tum,suffix,
-thumb,obsolete spelling of -tum,suffix,
-tion,-tion,suffix,
-trop,Placename suffix found chiefly in north-western Germany,suffix,
-tum,A suffix used to derive abstract nouns: -dom,suffix,
-tägig,in compound words: days old; in compound words: days lasting,suffix/suffix, 
-ung,"-ing; forms nouns from verbs, usually describing either an event in which an action is carried out, or the result of that action",suffix,
-urie,-uria,suffix,"pathology, ] "
-verdächtig,"Used to form adjectives from nouns, the adjectives having the sense of ""a person or thing can expect to get the thing described the noun""; Used to form adjectives from nouns, the adjectives having the sense of ""the thing described the noun can be expected from a person or thing""",suffix/suffix, 
-voll,An adjective suffix in a sense of 'full of',suffix,
-weise,Used to form an adverb from a noun; Used to form an adverb from an adjective or participle together with the interfix -er-,suffix/suffix, 
-wert,-worthy,suffix,
-wertig,valent,suffix,chemistry] 
-wesen,area of human activity,suffix,
-witz,A surname suffix,suffix,
-wärtig,Forming adjectives denoting the position of someone or something,suffix,
-wärts,"-wards. Forms adverbs denoting course or direction to, or motion or tendency toward. The adverbs are formed either from a noun or from a preposition",suffix,
-wöchig,Builds an adjective that specifies the number of weeks in a duration or (less frequently) in an age,suffix,
-würdig,-worthy,suffix,
-zentrisch,-centric,suffix,
-zid,-cide; -cide,suffix/suffix, 
-zu-,zu; marks the zu-infinitive of separable verbs in verb-final contexts,interfix,
-är,-ary,suffix,
-ös,"A suffix, sometimes matching -ous",suffix,
0.,abbreviation of nullte,adj,
08/15,"ordinary, average, standard, not special",adj,"colloquial, idiomatic] "
0815,alternative spelling of 08/15,adj,
1-fach,alternative spelling of einfach,adj,
1-minütig,alternative spelling of einminütig,adj,
1-tägig,alternative form of eintägig,adj,
1.,abbreviation of erste,adj,
10-fach,alternative form of zehnfach,adj,
10-jährig,alternative form of zehnjährig,adj,
10-mal,alternative form of zehnmal,adv,
10-malig,alternative form of zehnmalig,adj,
10-minütig,alternative spelling of zehnminütig,adj,
10-monatig,alternative form of zehnmonatig,adj,
