term,definition,POS,notes
&,et,conj,
'tain,informal spelling of putain or contraction of putain,interj,"colloquial, vulgar] "
(K),alternative form of Ⓚ,symbol,
(k),alternative form of Ⓚ,symbol,
-a,Suffix indicating the third-person singular past historic of -er verbs,suffix,
-able,-able,suffix,
-acé,A suffix forming adjectives; -aceous,suffix,"uncommon, sciences] "
-acée,Suffix replacing -acées when designating a single member of a plant family,suffix,botany] 
-acées,-aceae,suffix,taxonomy] 
-ade,"Used to form collectives; Indicating a dish or recipe; Indicating a drink made from a given fruit; Used to form nouns denoting action, or a person performing said action",suffix/suffix/suffix/suffix,   
-adique,-adic,suffix,maths] 
-age,"Forming nouns with the sense of ""action or result of Xing"" or, more rarely, ""action related to X""; Forming nouns with the sense of ""state of being (a) X""; Forming collective nouns",suffix/suffix/suffix,  rare] 
-ai,A suffix denoting the first-person singular past historic indicative form of an -er verb,suffix,
-aie,used to form names of orchards or places where trees/plants are grown,suffix,
-aient,A suffix denoting the third-person plural imperfect indicative form of a verb,suffix,
-ail,"Forming masculine nouns from verbs and nouns, having the sense of ‘tool, object for a specific purpose’; Forming masculine nouns from verbs and nouns, having a collective sense",suffix/suffix, 
-aille,"Forming feminine nouns having a colloquial or pejorative meaning, or indicating the means or result of an action",suffix,
-ailler,"Forming verbs with frequentative effect, often somewhat pejorative",suffix,
-aillon,Forming masculine nouns with diminutive or pejorative meaning,suffix,
-ain,"Suffix used to form demonyms, both nouns (uppercase) and adjectives (lowercase); Indicates the old oblique case (cas régime) of certain nouns",suffix/suffix, 
-aine,"Indicates approximation, suffixed to a number",suffix,noun-only] 
-aire,-ary (adjectival suffix); -ary (nominal suffix),suffix/suffix, 
-ais,"The first-person and second-person singular imperfect indicative form of a verb; Used to form adjectives that denote where something or someone is from, or to form the name of the language spoken in this place; Used to form nouns that denote where something or someone is from",suffix/suffix/suffix,  
-aise,"Used to form female adjectives that denote where something or someone is from, e.g., française, anglaise, marseillaise, etc",suffix,
-aison,Forming feminine nouns of action from verbs,suffix,
-ait,A suffix denoting the third-person singular imperfect indicative form of a verb,suffix,
-al,"-al (of or pertaining to; adjectival suffix appended to various words, often nouns, to make an adjective form. Often added to words of Latin origin, but used with other words also)",suffix,
-amment,Variant of -ment appended to adjectives ending with -ant,suffix,
-ance,-ance (suffix used to form nouns),suffix,
-ane,-ane,suffix,chemistry] 
-ant,-ing; suffix denoting the present participle of a verb; A suffix deriving adjectives from words other than verbs; Used to form nouns and adjectives out of verbs,suffix/suffix/suffix, rare]  
-ante,feminine noun of -ant,suffix,
-archie,-archy,suffix,
-ard,"Used primarily to form pejoratives, diminutives, and nouns representing or belonging to a particular class or sort",suffix,
-asse,Suffix forming the first-person singular imperfect subjunctive of -er verbs; Suffix forming pejoratives,suffix/suffix, 
-assent,Suffix forming the third-person plural imperfect subjunctive of -er verbs,suffix,
-asses,Suffix forming the second-person singular imperfect subjunctive of -er verbs,suffix,
-assiez,Suffix forming the second-person plural imperfect subjunctive of -er verbs,suffix,
-assions,Suffix forming the first-person plural imperfect subjunctive of -er verbs,suffix,
-at,"Usually denotes an action or a result of an action, as in assassinat (assassination)",suffix,
-ate,-ate,suffix,"chemistry, in nouns] "
-ateur,-ator,suffix,
-atif,-ative,suffix,
-ation,-ation,suffix,
-atrice,"-(at)rix, -ess",suffix,
-aud,"A suffix appended to forenames, especially those of Germanic origin; An augmentative suffix; Used to create diminutives, or nouns having a pejorative connotation",suffix/suffix/suffix,  
-bourg,Placename suffix,suffix,
-carpe,-carp,suffix,
-centrique,-centric,suffix,
-chorie,-chory,suffix,
-ci,"this: always used with ce or pronouns such as celui, celle",particle,
-cide,-cide,suffix,
-crate,-crat,suffix,
-cratie,-cracy,suffix,
-culteur,"indicates a grower or a keep of something, usually animal or plant related",suffix,
-cyte,-cyte,suffix,
-céphale,-cephalic,suffix,
-céphalie,-cephaly,suffix,
-dactyle,-dactyl,suffix,
-dingue,suffix used to form augmentatives,suffix,colloquial] 
-drome,-drome,suffix,
-e,Used to form the feminine of adjectives; Abbreviation of -ième when an ordinal number is written with Arabic numerals,suffix/suffix, 
-eau,"Forming diminutive masculine nouns, especially with the sense ""young animal""",suffix,
-ectomie,-ectomy,suffix,surgery] 
-el,To make an adjectival form of a noun; -al,suffix,
-elle,"Forming feminine nouns, often with a diminutive sense",suffix,
-ence,"-ence, -ance",suffix,
-ent,A suffix denoting the third-person plural present indicative form of a verb,suffix,
-er,Forms infinitives of first-conjugation verbs,suffix,
-erai,Used with a stem to form the first-person singular future of regular -er verbs,suffix,
-eraie,alternative form of -aie,suffix,
