term,definition,long_definition,vernacular_definition,note,example
abad,"century; age, era. BER-_-_: for centuries. MENG-: last for centuries.","^*1 century. 2 age, era. BER-_-_: for centuries. MENG-: last for centuries.",Waktu yang lamanya 100 tahun. Zaman.,,Bahasa Indonesia dimulai pada ABAD ke 20.
abadi,"eternal, lasting, enduring","MEMPER --: MENG-KAN 1. immortalize, record for posterity. 2. perpetuate KE--AN: 1. durability, permanence, 2. eternity, perpetuity. PENG--AN: perpetuation",,,Tugu itu ~ jasanya
abah,direction; MENG- : to head for,"direction MENG-: to head for, go towards",,,
abah,direction,MENG --: head for,,,
abai,neglecful,"MENG--KAN 1. ignore, disregard 2. underestimate, minimize 3. make light of, belittle TER--(KAN) slighted, ignored. PENG--: 1. careless or neglectful person. 2 nonchalant, or indifferent person. PENG--AN 1. careless, indifference 2. neglect 3. disobedience",,,Pegawai itu ~ perintah majikan
abang,elder brother; address for older working-class males; +,"^*1 elder brother. 2 form of address for older working-class males with whom one is not acquainted. 3 form of address to one's husband or boyfriend, used as ""bang"".",Saudara tua (laki-laki). Sinonim: mas.,,ABANG BECAK itu sedang makan.
abangan,one who is not a strict follower of one's declared religion.,*one who is not a strict follower of one's declared religion.,Orang yang mempunyai agama tetapi tidak benar-benar menjalankan aturannya.,,Walaupun dua-duanya Muslim tetapi yang satu ABANGAN dan yang satu santri.
abar,brake,"MENG--: 1 brake. 2 impede, hinder. 3 remove. 4. lessen --AN: inhibition PENG--AN, PER--AN braking",,,2. Obat baru itu ~ keadaan payah pasien itu
abdi,"servant, slave. MENG-: serve. MENG--KAN: subjugate. Also PENG-, PENG--KAN.","^servant, slave. *MENG-: serve. *MENG--KAN: subjugate. PENG-: official. *PENG--AN: 1 servitude. 2 devotion. 3 dedication.",pesuruh; ajudan; pembantu.,,PENGABDIANnya selama ini sia-sia saja.
abis,"finished, used up; completed, through, concluded. Also MENG--I, MENG--KAN, +","see HABIS ^*1 finished, used up. 2 completed, concluded. 3 ""what do you expect?"" MENG--I: 1 end, finish (speech, etc.) 2 finish off, wipe out. 3 spend (time). MENG--KAN: 1 finish (o.'s story, job, etc.). 2 spend (time). 3 use up, consume. KE--AN: run out of. PENG--AN: end, conclusion (of a story).",Selesai/tamat. Sudah tidak ada lagi sisanya. Sesudah/setelah. Karena.,,WHAT DO YOU EXPECT?
abjad,alphabet,MENG -- KAN: alphabetize. PENG--AN: alphabetization. -- IAH: aphabetical,,,
abon,shredded meat that has been boiled and fried.,shredded meat that has been boiled and fried.,Daging yang sudah dihaluskan dan dimasak.,,ABON buatan ibu tidak kalah lezatnya dengan ABON yang dijual di toko.
abonemen,subscription,^subscription BER-: subscribe to,,,Saya BERABONEMEN majalah Tempo
ABRI,"""Angkatan Bersenjata Republik Indonesia,"" the Indonesian armed forces.","*acronym for ""Angkatan Bersenjata Republik Indonesia,"" the Indonesian armed forces.",Nama badan di bidang militer di Indonesia.,,Anak itu gagah berani seperti bapaknya yang anggota ABRI.
abruk,NG-IN slam or set s.t. down with a crash,,,,Langsung saja mereka nyelonong ke bangku paling depan dan ~ pantat di sana -- They went directly to the first row and threw their behinds onto the benches there.
absah,"valid, legal, legitimate","*MENG--KAN: 1. endorse, approve 2. legalize KE--AN: validity, legality PENG--AN: 1. endorsement, approval 2. legalization",,,*Pemerintahan Habibie MENGABSAHKAN penangkapan para mahasiswa
absen,absent,MENG--: call roll. --AN: roll. daftar--: attendance roll. PENG--AN: taking of the roll.,,,
abses,"abscess, ulcar","^abscess, ulcar",,,
absolut,absolute,MENG--KAN: to make s.t. absolute --AN: in an absolute way PENG--AN: to make s.t. absolute,,,Kekuasaan ~
abu,"dust, ashes.","*dust, ashes.",Barang sisa pembakaran.,,ABU rokokmu tercecer di mana-mana.
abu-abu,grey (color),,,,
AC,air conditioning.,*air conditioning.,Alat pendingin ruangan.,,AC ini sudah tidak bekerja dengan baik lagi.
acak,1.disordered; 2. random,"*SECARA- = at random *-(2)AN = in disorder, chaos *MENG- = mess up, put in disorder",,,Rambutnya ACAK-ACAKAN karena tertiup angin di pantai
acap,"be stuck deep in a th., be in","^be stuck deep in a th., be in *MENG-I: soak s.t.","-KALI : often, repeatedly. -(2): quick, repeatedly.",,*Saya MENGACAPI piring-piring ke dalam air sabun
acapkali,"repeatedly, frequently","repeatedly, frequently",,,Dia ACAPKALI mengganggu saya sedang belajar
acar,pickles,^pickles.,,,ACAR Jawa sangat terkenal.
acara,"agenda; program; judicial procedure. BER-: to be in session. Also MENG-,+","^*1 agenda. 2 program of activity. 3. judicial procedure, jurisdiction. BER-: to be in session (of court, etc.). MENG-: hand down (a court sentence). MENG--I: begin the conversation. MENG--KAN: 1 place on the agenda. 2. bring up (with a judge, etc.). PENG-: 1 lawyer, attorney. 2 master of ceremonies.",Hal yang akan dibicarakan/agenda. Segala hal yang akan dipertunjukkan/disiarkan (program). Pemeriksaan perkara (dalam pengadilan).,,Hukum ACARA pidana masih harus
Aceh,"Special Region of Aceh, a provice in Indonesia.","Special Region of Aceh, one of the 27 provinces and special regions in Indonesia, located on the western end of Sumatra. Its capital city is Banda Aceh.",,,
acu,"see ACU1 (refer. . .), ACU2 (mold, shape), ACU3 (ready . . .).","see ACU1 (refer . . .) ACU2 (mold, shape . . .) ACU3 (ready . . .).",,,
acu,"BER--AN: having reference. MENG-: point (a gun), refer to. Also MENG--KAN, +","^*BER--AN: having reference. *MENG-: point (a gun), refer to. *-AN: hint, reference.",petunjuk; rujukan.,,Ini buku ACUAN bagi orang yang akan
acu,SE-: from the same mold. MENG-: shape or mold s.t. -AN: a mold.,*SE-: from the same mold. MENG-: shape or mold s.t. *-AN: a mold.,cetak; tuang; bentuk.,,Kue ini dibuat dari ACUAN yang berbentuk
acu,"ready. Also MENG-, MENG--KAN.","^ready. MENG-: 1 contemplate a means for obtaining a goal. 2 take up a threatening pose. MENG-KAN: to stick something out, point.",siap.,,Edi MENGACUKAN tinjunya kepada
acuh,"care. MENG--KAN: heed, care about, be concerned with. -AN: s.t. given attention.","^* care. *MENG--KAN: heed, care about, be concerned about. >-AN: Something to which attention is given.",Peduli; mengindahkan; memperhatikan; menghiraukan.,,Anak itu ACUH TAK ACUH saja ketika
acum,"incite, instigate","^incite, instigate *MENG-: incite, instigate",,,*Kolonial Belanda senang MENGACUM warga Indonesia
acung,point,"MENG--: point upward, MENG--I: point out, draw attention to MENG--KAN: 1. hold up (the hand to greet or answer) 2. point s.t. --AN: raising upward, lifting up 2. s.t. pointed forward or outward",,,Ia ~tangannya untuk menjawab pertanyaan itu
AD,"abbreviation of ""Angkatan Darat"" = the Army","abbreviation of ""Angkatan Darat"" = the Army",,,
ada,"there is; are; be present; have, own. -LAH: am, is, are. Also -PUN,+","^*1 there is, are. 2 (Coll.) be, be present. 3 have, own. -LAH: am, is, are. -PUN: now, it so happens. -NYA: 1 presence. 2 existence. 3 situation. SE-NYA: whatever there is, as one finds it. *BER--: 1. be in place; 2. well-off, well-to-do *KEBER--AN: existence. *DI--KAN: presented by s.o, provided by.",Hadir; telah tersedia. Mempunyai.,,"SEADANYA saja, tak usah repot-repot."
adab,"culture; refined, proper behavior. BER-: cultured, refined. Also PER--AN.","1 culture. 2 refined, proper behavior. *BER-: cultured, refined. *PER--AN: civilization, culture.",Mempunyai budaya; sopan santun; baik budi.,,Suku di pedalaman itu sudah mempunyai
adang,"intercept, block, ambush","MENG--I: hold up, waylay, intercept, mooch PENG--: robber, highwayman, hold-up man PENG--AN: ambush",,,Pohon ~ di jalan
adaptasi,adaptation,"BER--: adapt, assimilate. MENG--: adapt",,,Orang luar itu sudah beradaptasi dengan teman-temannya
adapun,"as regards, concerning, re","^as regards, concerning, re",,,
adat,"custom, tradition, customary manners. Also BER-.","custom, tradition, customary manners. BER-: to be customary or traditional, well-mannered. (The picture shows couples from various Indonesian ethnic groups wearing PAKAIAN ADAT, traditional wedding dress.)",aturan; kebiasaan.,,Anak muda itu walaupun berambut gondrong tetapi sangat BERADAT.
adat-istiadat,various traditional customs.,various traditional customs. Also see ADAT,Aturan atau kebiasaan yang ada di dalam suatu masyarakat yang sudah berlangsung lama dan turun temurun.,,
adegan,scene (in a play).,scene (in a play).,Bagian babak dalam sebuah pertunjukan/sandiwara.,,Terlalu banyak ADEGAN kekerasan dalam filem sekarang.
adem,"1. cool, calm. 2. cold. 3. tasteless, flat. MENG-: cool s.o. off. Also KE--AN, +","1. cool, calm. 2. cold. 3. tasteless, flat. MENG-: cool s.o. off. KE--AN: felicity, peacefulness. PENG-: apparatus for cooling.",Dingin; sejuk; perasaan damai.,,Kipas angin ini digunakan untuk PENGADEM
adi,superior,"1. -- DAYA: superpower. --KAWASI: force majeure. --KODRATI: the supreme power of GOD. --KUASA: superpower. --MARGA: super or main highway. --BUSANA: haute couture. 2. splendid, highly valued.",,,Amerika Serikat adalah negara adidaya: The United States is a superpower country
adik,"younger brother, sister or cousin;+. BER-: have younger siblings. Also MEMPER-.","^*1 younger brother or sister or younger cousin. 2 form of address to younger brother or sister and younger people in extended family (esp. first cousins). 3 form of address from husband to wife, boyfriend to girlfriend. 4 form of address for service persons of either sex (waiter, etc.) younger than the speaker. BER-: have younger siblings.",1. Saudara muda. 2. Panggilan kepada orang yang lebih muda (istri dsb.). 3. Pertalian persaudaraan dengan yang lebih muda.,,ADIK IPAR saya ada di Jakarta.
adil,"just, fair, equitabl; legal. MENG--I: administer justice. Also MENG--I, KE--AN,+","^*1 just, fair, equitable. 2 legal. MENG--I: 1 hear, try ( a case). 2 administer justice. KE--AN: justice, justness. PENG--AN: 1 the court. 2 trial, session. 3 courthouse. 4 jurisdiction.",1. Tidak berat sebelah. 2. Sepatutnya/tidak sewenang-wenang.,,Keputusan hakim itu sangat ADIL.
adinda,"my dear(est), darling","^my dear(est), darling",,,Juli memanggil adik bungsunya ADINDA
adipati,"during the colonial era, this is a (respectful) title for the head of a residence in Java","during the colonial era, this is a (respectful) title for the head of a residence in Java",,,
adonan,"dough, batter","*^dough, batter MENG-I: knead, stir",,,*ADONAN roti itu sangat harum
