term,definition,POS,notes
),-),punct,"Internet slang, text messaging] "
-//-,""", ditto",punct,nonstandard] 
-а,Noun-forming suffix used to form diminutives of proper names; used after a hard (unpalatalized) consonant; Noun-forming suffix used to form abstract nouns and agent nouns from prefixed stems ending in a consonant that becomes a hushing consonant (ш ж ч щ) when iotation. The final consonant of the stem is iotated before this suffix; Noun-forming suffix used to form abstract nouns and agent nouns from prefixed stems. The final consonant of the stem is not iotated before this suffix,suffix/suffix/suffix,  
-аемый,"-able, -ible, -uble, -ed [present participle passive]",suffix,
-ак,"alternative form of -як [suffix usually denoting a person with a given characteristic, or an inanimate noun of various meanings; often of a colloquial nature]",suffix,
-аль,alternative form of -ель,suffix,
-альный,"Used to form adjectives from verbs, especially those in -ать",suffix,
-ание,"-tion, -ence, -ance, -ity, etc. (suffix used to form abstract nouns from verbs; added especially to verbs ending in -ать)",suffix,
-анка,alternative form of -янка [used after hushing consonants (ш ж ч щ) and ц],suffix,
-аной,alternative form of -яной [used after hushing consonants (ш ж ч щ) and ц],suffix,
-аный,Suffix used to form passive-participle-like adjectives from verbs in -ать,suffix,
-анье,"alternative form of -ание: -tion, -ence, -ance, -ity, etc. (suffix used to form abstract nouns from verbs; added especially to nouns ending in -ать)",suffix,
-арь,"Suffix added to nouns, verbs and adjectives to form masculine agent nouns, sometimes inanimate: -er, -or",suffix,
-астый,"adjective-forming suffix, added to nouns (especially body parts), indicating having the property of that noun to a large extent",suffix,
-атор,"Suffix used to form agent nouns (both animate and inanimate) from verbs in -ировать, -ировать and -овать: -ator, -er",suffix,
-атый,"Suffix used to form adjectives from nouns, meaning ""having X""",suffix,
-ать,"The infinitive suffix for many verbs. Usually indicates an imperfective verb; Used in place of -ять after the hushing sibilants ш щ ч ж and after жд, when used to derive imperfective verbs from (normally but not always prefixed) perfective class 4 verbs (in -ить) following one of т д с з ш щ ч ж. Always stressed. Triggers iotation of the final stem consonant, although it's unpredictable whether the iotation of т results in ч or щ, and whether the iotation of д results in ж or жд. Very occasionally found with class 5 verbs in -еть; Used to derive imperfective verbs from certain classes of prefixed perfective verbs, where the stem ends in a non-palatal consonant, e.g. class 3 (-нуть), class 6 (some -ать, particularly where the present tense does not end in -аю), class 7 (-ть after a consonant and -ти), class 8 (-чь). Always stressed (which may be the only difference between the perfective and imperfective forms, esp. for class 6 perfectives). It is added to the underlying stem, minus the infinitive suffix. In some cases, the underlying stem is not apparent in the infinitive. In such a case, the stem may appear in the present tense (in class 7 verbs such as напасть, underlying stem напад- visible in present 1st singular нападу, or in class 8 verbs such as отсечь, underlying stem отсек- visible in present 1st singular отсеку) or may not (in class 3 verbs in -нуть, e.g. покинуть, underlying stem покид-); Occasionally, irregularly used to derive imperfective verbs from (normally but not always prefixed) perfective class 4 (-ить) and class 5 (some -еть) verbs where the stem ends in a paired palatal consonant. Always stressed. Does not trigger iotation; Used in place of -еть after the hushing sibilants ш щ ч ж, when used to derive class-5 imperfective verbs from nouns, especially onomatopoeic verbs. Probably no longer productive",suffix/suffix/suffix/suffix/suffix,    
-ация,-ation,suffix,
-ач,Usually denoting occupation or agent,suffix,
-ающий,"-ing, -ent, -ive (present participle active: ""which is ...-ing"")",suffix,
-ающийся,"-ing, -ent, -ive [active reflexive present participle: ""which is ...-ing""]",suffix,
-ба,a noun forming suffix,suffix,
-бавить,"Combining form used to form prefixed perfective verbs with various transitive meanings, e.g. ""add, dilute, amuse, rid""",affix,
-бина,Added to verbs and adjectives to form nouns indicating locations (relatively uncommon suffix),suffix,
-бирать,Combining form used to form imperfective counterparts of prefixed derivatives of брать (to take),affix,
-бище,Added to verbs to form nouns indicating locations,suffix,
-бороть,"Combining form used to form verbs meaning approximately ""to fight, to defeat""",affix,
-вадить,"Combining form used to form prefixed perfective verbs with the approximate meaning ""to teach""",affix,
-ватый,"-ish, rather, a bit too (attenuates adjectives)",suffix,
-вать,"Used to derive imperfective verbs from perfective verbs whose unprefixed stem consists of a single syllable ending in a vowel. Also sometimes formed from class-1 verbs in -еть, which can also form imperfectives using -ивать",suffix,
-вергнуть,"Combining form used to form prefixed perfective verbs with the approximate meanings ""to throw"" or ""to overthrow""",affix,
-вестить,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to announce""",affix,
-ветвить,"Combining form used to form prefixed perfective verbs with the approximate meaning of ""to branch""",affix,
-ветрить,Combining form used to form prefixed perfective verbs with meanings related to do something with the wind,affix,
-вратить,"Combining form used to form prefixed perfective verbs, with the approximate meaning ""to turn""",affix,
-выкнуть,"Combining form used to form prefixed perfective verbs with the approximate meaning ""get used to"", ""become accustomed to""",affix,
-гибать,Combining form used to form imperfective counterparts of prefixed derivatives of гнуть (to bend),affix,
