term,definition,POS,notes
&,y; e,conj/conj, 
&c.,obsolete form of etc.,adv,
-a,"-ess. (Used to form feminine singular nouns.); (Used to form the feminine singular adjectives.); -s. (Used to form the third-person singular (also used with usted) present indicative mood of regular -ar verbs.); (Used to form the first and third-person singular (also used with usted) singular present subjunctive mood of -er and -ir verbs, also used for the imperative mood of usted.); Used to form the second-person singular imperative mood of -ar verbs",suffix/suffix/suffix/suffix/suffix,    
-aba,Suffix indicating the first-person singular imperfect indicative of -ar verbs; Suffix indicating the third-person singular imperfect indicative of -ar verbs,suffix/suffix, 
-abais,Suffix indicating the second-person plural imperfect indicative of -ar verbs,suffix,
-aban,Suffix indicating the third-person plural imperfect indicative of -ar verbs,suffix,
-abas,Suffix indicating the second-person singular imperfect indicative of -ar verbs,suffix,
-able,-able,suffix,
-acha,feminine noun of -acho,suffix,
-acho,Used in forming pejoratives from nouns and adjectives,suffix,
-ación,alternative form of -ción; -ation,suffix,
-aco,A suffix to make nationalities and demonyms; A pejorative suffix,suffix/suffix, 
-ada,"Used with a stem to form the feminine singular past participle of regular -ar verbs; feminine form of -ado; Used to form words, derived from nouns, signifying a whole; Used to form words, derived from nouns, corresponding to -ful (as much as something will hold); Used to form words indicating a period of time; Used to form words, derived from nouns, indicating a blow with the named object; Used to form words indicating action; Used to form words indicating abundance or excess",suffix/suffix/suffix/suffix/suffix/suffix/suffix,      
-ado,Suffix indicating the masculine singular past participle of regular -ar verbs,suffix,
-ador,Form of -dor attached to -ar verb stems. Forms (usually agent) nouns and adjectives,suffix,
-adora,feminine noun of -ador,suffix,
-adura,Form of -dura used with -ar verbs to form nouns,suffix,
-aje,"Forms masculine nouns expressing an action, quantity, location, period of time, etc; Forms masculine nouns with the sense of collection, -age",suffix/suffix, 
-ajo,Forms pejorative diminutives of adjectives and nouns,suffix,
-al,"In adjectives, indicating relation; In nouns, indicating a place where something is grown",suffix/suffix, 
-algia,"-algy, -algia",suffix,
-amento,alternative form of -mento,suffix,
-amiento,alternative form of -miento,suffix,
-amos,suffix indicating the first-person plural present indicative of -ar verbs; Suffix indicating the first-person plural preterite of -ar verbs; Suffix indicating the first-person singular present subjunctive of -er and -ir verbs; Suffix indicating the first-person singular imperative of -er and -ir verbs,suffix/suffix/suffix/suffix,   
-an,Suffix indicating the third-person plural (also used with ustedes) present indicative of -ar verbs; Suffix indicating the third-person plural (also used with ustedes) present subjunctive of -er and -ir verbs; Suffix indicating the third-person plural imperative of -er and -ir verbs,suffix/suffix/suffix,  
-ana,feminine singular of -ano,suffix,
-ancia,-ancy,suffix,
-ando,"Suffix indicating the gerund of regular -ar verbs; i.e., the suffix -ing in English",suffix,
-anga,Used with derogatory value in nouns and adjectives. (E.g. fritanga),suffix,
-ano,"Coming from, related to, or like; One from, belonging to, relating to, or like; -ane (in the names of hydrocarbons)",suffix/suffix/suffix,as an adjective]  as a noun]  organic chemistry] 
-ante,Forms adjectives from verbs,suffix,
-anza,-ance,suffix,
-ar,"In adjectives, indicating membership or status; In nouns, indicating a place where something is grown; Used to form first conjugation verbs indicating an action related to the root word",suffix/suffix/suffix,  
-aran,Denotes the imperfect subjunctive in the third-person plural for regular verbs ending in -ar; Denotes the imperfect subjunctive in the (formal) second-person plural for regular verbs ending in -ar,suffix/suffix, 
-arca,"-arch (leading, leader)",suffix,
-areis,Suffix indicating the second-person plural future indicative of -ar verbs,suffix,
-ario,-ary,suffix,
-aron,Denotes the indicative preterite in the third-person plural for regular verbs ending in -ar; Denotes the indicative preterite in the (formal) second-person plural for regular verbs ending in -ar,suffix/suffix, 
-arraco,A pejorative diminutive suffix,suffix,
-aré,Suffix indicating the first-person singular future indicative of -ar verbs,suffix,
-as,suffix indicating the second-person singular present indicative of -ar; suffix indicating the second-person singular present subjunctive of -er verbs and -ir verbs,suffix/suffix, 
-asa,-ase (used to form names of enzymes),suffix,biochemistry] 
-astro,Used to form nouns with a pejorative or lower meaning,suffix,
-ata,feminine noun of -ato; feminine singular of -ato,suffix/suffix, 
